label,aggregation,selection_count,selection_fraction,threshold_mean_when_selected,threshold_median_when_selected,threshold_std_when_selected,cal_f1_mean_when_selected
Brene_Brown,mean,4,0.2,0.5,0.5,0.0,0.9967532467532467
Brene_Brown,max,0,0.0,,,,
Brene_Brown,top2mean,7,0.35,0.5242857142857144,0.5,0.09536895771286429,0.9846645147342011
Brene_Brown,top3mean,4,0.2,0.44,0.44,0.06928203230275509,0.9936708860759493
Brene_Brown,p75,3,0.15,0.5066666666666667,0.57,0.10969655114602887,0.9947089947089948
Brene_Brown,p90,2,0.1,0.49,0.49,0.0,0.9933333333333333
Eckhart_Tolle,mean,8,0.4,0.5,0.5,0.0,1.0
Eckhart_Tolle,max,0,0.0,,,,
Eckhart_Tolle,top2mean,5,0.25,0.5,0.5,0.0,1.0
Eckhart_Tolle,top3mean,7,0.35,0.5,0.5,0.0,1.0
Eckhart_Tolle,p75,0,0.0,,,,
Eckhart_Tolle,p90,0,0.0,,,,
Eric_Thomas,mean,8,0.4,0.33499999999999996,0.33,0.049856938190329,0.9490155781801346
Eric_Thomas,max,2,0.1,0.75,0.75,0.0,0.9449275362318841
Eric_Thomas,top2mean,0,0.0,,,,
Eric_Thomas,top3mean,6,0.3,0.5,0.5,0.07668115805072323,0.9650679315613576
Eric_Thomas,p75,4,0.2,0.4025,0.4,0.004999999999999977,0.9530454523338775
Eric_Thomas,p90,0,0.0,,,,
Gary_Vee,mean,13,0.65,0.48615384615384616,0.47,0.04174095940808849,1.0
Gary_Vee,max,0,0.0,,,,
Gary_Vee,top2mean,0,0.0,,,,
Gary_Vee,top3mean,0,0.0,,,,
Gary_Vee,p75,7,0.35,0.87,0.87,0.0,1.0
Gary_Vee,p90,0,0.0,,,,
Jay_Shetty,mean,7,0.35,0.48857142857142855,0.48,0.010690449676496985,0.9819996079907918
Jay_Shetty,max,0,0.0,,,,
Jay_Shetty,top2mean,0,0.0,,,,
Jay_Shetty,top3mean,7,0.35,0.7357142857142858,0.9,0.21785753317685566,0.9908178437776434
Jay_Shetty,p75,6,0.3,0.9500000000000001,0.95,1.2161883888976234e-16,0.9818504279646131
Jay_Shetty,p90,0,0.0,,,,
Nick_Vujicic,mean,1,0.05,0.5,0.5,0.0,1.0
Nick_Vujicic,max,0,0.0,,,,
Nick_Vujicic,top2mean,0,0.0,,,,
Nick_Vujicic,top3mean,19,0.95,0.5042105263157894,0.5,0.005072572735017885,1.0
Nick_Vujicic,p75,0,0.0,,,,
Nick_Vujicic,p90,0,0.0,,,,
other_speaker_present,mean,8,0.4,0.39249999999999996,0.4,0.02052872551885701,0.9471592033405789
other_speaker_present,max,0,0.0,,,,
other_speaker_present,top2mean,7,0.35,0.8042857142857143,0.8,0.012724180205607002,0.9502251899919655
other_speaker_present,top3mean,5,0.25,0.594,0.57,0.07765307463326869,0.9516264922850839
other_speaker_present,p75,0,0.0,,,,
other_speaker_present,p90,0,0.0,,,,
music_present,mean,4,0.2,0.4125,0.43,0.04193248541803042,0.9678469185340081
music_present,max,0,0.0,,,,
music_present,top2mean,0,0.0,,,,
music_present,top3mean,6,0.3,0.5900000000000001,0.62,0.09165151389911681,0.9614565148969346
music_present,p75,6,0.3,0.6183333333333333,0.645,0.06794605703546505,0.9554719102275239
music_present,p90,4,0.2,0.715,0.69,0.050000000000000044,0.9569319998661127
audience_reaction_present,mean,1,0.05,0.37,0.37,0.0,0.608695652173913
audience_reaction_present,max,4,0.2,0.855,0.86,0.010000000000000009,0.5407575516271169
audience_reaction_present,top2mean,1,0.05,0.63,0.63,0.0,0.5925925925925926
audience_reaction_present,top3mean,3,0.15,0.42333333333333334,0.42,0.005773502691896262,0.5275862068965517
audience_reaction_present,p75,3,0.15,0.6366666666666667,0.64,0.005773502691896262,0.6194444444444445
audience_reaction_present,p90,8,0.4,0.6425000000000001,0.64,0.007071067811865481,0.6172463318588843
silence_present,mean,0,0.0,,,,
silence_present,max,3,0.15,0.5066666666666667,0.51,0.005773502691896262,0.38518518518518513
silence_present,top2mean,1,0.05,0.46,0.46,0.0,0.2857142857142857
silence_present,top3mean,4,0.2,0.5,0.5,0.0,0.44285714285714284
silence_present,p75,12,0.6,0.42249999999999993,0.47,0.09235553829925659,0.47474036684563004
silence_present,p90,0,0.0,,,,
