seed,label,aggregation,threshold,cal_precision,cal_recall,cal_f1,cal_tp,cal_fp,cal_fn,cal_tn,cal_support,cal_predicted_positive,cal_hamming_errors
0,Brene_Brown,p75,0.38,1.0,1.0,1.0,35,0,0,399,35,35,0
0,Eckhart_Tolle,mean,0.5,1.0,1.0,1.0,52,0,0,382,52,52,0
0,Eric_Thomas,top3mean,0.57,1.0,0.9714285714285714,0.9855072463768115,34,0,1,399,35,34,1
0,Gary_Vee,mean,0.5,1.0,1.0,1.0,27,0,0,407,27,27,0
0,Jay_Shetty,top3mean,0.51,0.9791666666666666,1.0,0.9894736842105264,47,1,0,386,47,48,1
0,Nick_Vujicic,top3mean,0.5,1.0,1.0,1.0,16,0,0,418,16,16,0
0,other_speaker_present,top3mean,0.52,0.9382716049382716,0.9620253164556962,0.95,228,15,9,182,237,243,24
0,music_present,top3mean,0.66,0.9738562091503268,0.9430379746835443,0.9581993569131834,149,4,9,272,158,153,13
0,audience_reaction_present,p90,0.64,0.7,0.5384615384615384,0.608695652173913,7,3,6,418,13,10,9
0,silence_present,p75,0.47,1.0,0.5,0.6666666666666666,3,0,3,428,6,3,3
1,Brene_Brown,top2mean,0.45,0.9736842105263158,1.0,0.9866666666666666,37,1,0,396,37,38,1
1,Eckhart_Tolle,top3mean,0.5,1.0,1.0,1.0,46,0,0,388,46,46,0
1,Eric_Thomas,max,0.75,0.9428571428571428,0.9705882352941176,0.9565217391304348,33,2,1,398,34,35,3
1,Gary_Vee,mean,0.47,1.0,1.0,1.0,32,0,0,402,32,32,0
1,Jay_Shetty,top3mean,0.94,1.0,0.9743589743589743,0.9870129870129869,38,0,1,395,39,38,1
1,Nick_Vujicic,top3mean,0.5,1.0,1.0,1.0,26,0,0,408,26,26,0
1,other_speaker_present,mean,0.41,0.9647577092511013,0.9319148936170213,0.948051948051948,219,8,16,191,235,227,24
1,music_present,top3mean,0.55,0.9938271604938271,0.9583333333333334,0.9757575757575757,161,1,7,265,168,162,8
1,audience_reaction_present,p75,0.64,0.8,0.4,0.5333333333333333,4,1,6,423,10,5,7
1,silence_present,top2mean,0.46,0.2857142857142857,0.2857142857142857,0.2857142857142857,2,5,5,422,7,7,10
2,Brene_Brown,mean,0.5,1.0,1.0,1.0,37,0,0,397,37,37,0
2,Eckhart_Tolle,mean,0.5,1.0,1.0,1.0,40,0,0,394,40,40,0
2,Eric_Thomas,p75,0.4,0.9142857142857143,0.9696969696969697,0.9411764705882354,32,3,1,398,33,35,4
2,Gary_Vee,mean,0.47,1.0,1.0,1.0,36,0,0,398,36,36,0
