label,aggregation,selection_count,selection_fraction,threshold_mean_when_selected,threshold_median_when_selected,threshold_std_when_selected,cal_f1_mean_when_selected
Brene_Brown,mean,3,0.15,0.5,0.5,0.0,1.0
Brene_Brown,max,6,0.3,0.7016666666666667,0.685,0.058452259722500614,0.9889339309093276
Brene_Brown,top2mean,3,0.15,0.5133333333333333,0.52,0.011547005383792525,1.0
Brene_Brown,top3mean,6,0.3,0.5066666666666667,0.51,0.005163977794943227,1.0
Brene_Brown,p75,0,0.0,,,,
Brene_Brown,p90,2,0.1,0.54,0.54,0.0,0.9935064935064934
Eckhart_Tolle,mean,1,0.05,0.5,0.5,0.0,1.0
Eckhart_Tolle,max,0,0.0,,,,
Eckhart_Tolle,top2mean,4,0.2,0.5,0.5,0.0,1.0
Eckhart_Tolle,top3mean,15,0.75,0.5,0.5,0.0,1.0
Eckhart_Tolle,p75,0,0.0,,,,
Eckhart_Tolle,p90,0,0.0,,,,
Eric_Thomas,mean,15,0.75,0.6086666666666667,0.59,0.03907258203224698,0.9472289745456804
Eric_Thomas,max,0,0.0,,,,
Eric_Thomas,top2mean,2,0.1,0.92,0.92,0.0,0.9300144300144301
Eric_Thomas,top3mean,2,0.1,0.89,0.89,0.0,0.9527417027417028
Eric_Thomas,p75,1,0.05,0.85,0.85,0.0,0.9565217391304348
Eric_Thomas,p90,0,0.0,,,,
Gary_Vee,mean,1,0.05,0.5,0.5,0.0,1.0
Gary_Vee,max,0,0.0,,,,
Gary_Vee,top2mean,11,0.55,0.5,0.5,0.0,1.0
Gary_Vee,top3mean,8,0.4,0.47,0.47,0.03207134902949093,1.0
Gary_Vee,p75,0,0.0,,,,
Gary_Vee,p90,0,0.0,,,,
Jay_Shetty,mean,2,0.1,0.5,0.5,0.0,0.9951456310679612
Jay_Shetty,max,0,0.0,,,,
Jay_Shetty,top2mean,6,0.3,0.8533333333333334,0.87,0.025819888974716137,0.9875332232234904
Jay_Shetty,top3mean,3,0.15,0.77,0.77,0.0,0.9889403292181069
Jay_Shetty,p75,9,0.45,0.6866666666666666,0.79,0.13086252328302403,0.989873454020526
Jay_Shetty,p90,0,0.0,,,,
Nick_Vujicic,mean,14,0.7,0.4492857142857142,0.43,0.030246242160558805,0.9897316298673259
Nick_Vujicic,max,0,0.0,,,,
Nick_Vujicic,top2mean,4,0.2,0.5875,0.58,0.02217355782608347,0.9905525846702318
Nick_Vujicic,top3mean,1,0.05,0.54,0.54,0.0,1.0
Nick_Vujicic,p75,1,0.05,0.49,0.49,0.0,0.9824561403508771
Nick_Vujicic,p90,0,0.0,,,,
other_speaker_present,mean,6,0.3,0.6316666666666667,0.66,0.047923550230201756,0.9262229248991742
other_speaker_present,max,0,0.0,,,,
other_speaker_present,top2mean,0,0.0,,,,
other_speaker_present,top3mean,14,0.7,0.7835714285714285,0.78,0.013926810257774164,0.9307368949657981
other_speaker_present,p75,0,0.0,,,,
other_speaker_present,p90,0,0.0,,,,
music_present,mean,7,0.35,0.29714285714285715,0.31,0.05468524655221178,0.95129119824058
music_present,max,0,0.0,,,,
music_present,top2mean,3,0.15,0.4566666666666666,0.44,0.028867513459481284,0.9480805521347379
music_present,top3mean,2,0.1,0.375,0.375,0.04949747468305829,0.9589750178968042
music_present,p75,7,0.35,0.30428571428571427,0.32,0.035523298860110984,0.9465459890628016
music_present,p90,1,0.05,0.58,0.58,0.0,0.9696969696969696
audience_reaction_present,mean,11,0.55,0.21363636363636365,0.21,0.039817766706013856,0.5517756922941427
audience_reaction_present,max,2,0.1,0.75,0.75,0.0,0.48571428571428577
audience_reaction_present,top2mean,1,0.05,0.48,0.48,0.0,0.5333333333333333
audience_reaction_present,top3mean,1,0.05,0.36,0.36,0.0,0.5454545454545455
audience_reaction_present,p75,3,0.15,0.47333333333333333,0.43,0.10214368964029706,0.5577485380116959
audience_reaction_present,p90,2,0.1,0.5,0.5,0.014142135623730963,0.5416666666666667
silence_present,mean,1,0.05,0.4,0.4,0.0,0.4444444444444445
silence_present,max,1,0.05,0.35,0.35,0.0,0.21052631578947367
silence_present,top2mean,13,0.65,0.49384615384615393,0.5,0.05993586315644161,0.4583514775822468
silence_present,top3mean,4,0.2,0.5,0.5,0.0,0.3909090909090909
silence_present,p75,0,0.0,,,,
silence_present,p90,1,0.05,0.3,0.3,0.0,0.28571428571428575
