parent_clip_id,sample_id,source_file,source_path,Brene_Brown,Eckhart_Tolle,Eric_Thomas,Gary_Vee,Jay_Shetty,Nick_Vujicic,other_speaker_present,music_present,audience_reaction_present,silence_present,exit1_prob_Brene_Brown,exit1_prob_Eckhart_Tolle,exit1_prob_Eric_Thomas,exit1_prob_Gary_Vee,exit1_prob_Jay_Shetty,exit1_prob_Nick_Vujicic,exit1_prob_other_speaker_present,exit1_prob_music_present,exit1_prob_audience_reaction_present,exit1_prob_silence_present,exit2_prob_Brene_Brown,exit2_prob_Eckhart_Tolle,exit2_prob_Eric_Thomas,exit2_prob_Gary_Vee,exit2_prob_Jay_Shetty,exit2_prob_Nick_Vujicic,exit2_prob_other_speaker_present,exit2_prob_music_present,exit2_prob_audience_reaction_present,exit2_prob_silence_present,exit3_prob_Brene_Brown,exit3_prob_Eckhart_Tolle,exit3_prob_Eric_Thomas,exit3_prob_Gary_Vee,exit3_prob_Jay_Shetty,exit3_prob_Nick_Vujicic,exit3_prob_other_speaker_present,exit3_prob_music_present,exit3_prob_audience_reaction_present,exit3_prob_silence_present
Brene_Brown__Brene_Brown__0014,Brene_Brown__Brene_Brown__0014_seg0000,Brene_Brown__0014.wav,human_talk_dataset\Brene_Brown\Brene_Brown__0014.wav,1,0,0,0,0,0,0,0,1,0,0.111188635,0.0063939774,0.11636552,0.12638815,0.15741767,0.14147907,0.4070336,0.53602433,0.06052901,0.019750912,0.44768438,0.00046364762,0.39449957,0.092780575,0.007491029,0.028060166,0.30462813,0.5574607,0.07023701,0.00420138,0.6995785,1.3189259e-06,0.00021310567,0.0035292124,0.0006628357,1.7920425e-07,0.6334614,0.02562758,0.09716891,0.0045668767
Brene_Brown__Brene_Brown__0014,Brene_Brown__Brene_Brown__0014_seg0001,Brene_Brown__0014.wav,human_talk_dataset\Brene_Brown\Brene_Brown__0014.wav,1,0,0,0,0,0,0,0,1,0,0.1378939,0.02923865,0.09597308,0.084261805,0.138315,0.13467304,0.3036874,0.3914764,0.119900756,0.053510252,0.32505432,0.0013745871,0.11005397,0.03263426,0.009415048,0.014293491,0.36504075,0.33614928,0.11513339,0.01816438,0.82960606,0.0020502966,0.008050423,0.0014586165,0.00028117196,0.0022496392,0.14752498,0.010611021,0.3690153,0.033104435
Brene_Brown__Brene_Brown__0014,Brene_Brown__Brene_Brown__0014_seg0002,Brene_Brown__0014.wav,human_talk_dataset\Brene_Brown\Brene_Brown__0014.wav,1,0,0,0,0,0,0,0,1,0,0.09372996,0.0017738077,0.09172537,0.09566227,0.025940597,0.045497864,0.20435543,0.3777286,0.4950551,0.027914278,0.3760515,0.00016256844,0.08106561,0.001837194,0.00017431962,0.0013737679,0.36448,0.024982987,0.90358436,0.036875036,0.7137928,7.9972844e-05,0.00013016556,0.0014444235,0.0014008818,0.0018753713,0.033811323,0.00038233984,0.88847333,0.14106834
Brene_Brown__Brene_Brown__0014,Brene_Brown__Brene_Brown__0014_seg0003,Brene_Brown__0014.wav,human_talk_dataset\Brene_Brown\Brene_Brown__0014.wav,1,0,0,0,0,0,0,0,1,0,0.17028616,0.04940446,0.08346388,0.07049217,0.065120175,0.11903544,0.29411215,0.2868461,0.094325654,0.06872,0.6699282,0.0028118386,0.053380918,0.0065236553,0.00031838176,0.012542275,0.44081718,0.10778008,0.09463341,0.04990375,0.98848045,0.00041564312,0.00077034824,0.00029512,0.00031388208,0.0076606674,0.11911524,0.0061596525,0.17993273,0.07011997
Brene_Brown__Brene_Brown__0014,Brene_Brown__Brene_Brown__0014_seg0004,Brene_Brown__0014.wav,human_talk_dataset\Brene_Brown\Brene_Brown__0014.wav,1,0,0,0,0,0,0,0,1,0,0.13096906,0.0765607,0.05875386,0.048506852,0.0758297,0.08306954,0.24798457,0.18569751,0.14789474,0.08935852,0.7007167,0.002963715,0.032744825,0.03697629,0.0001363869,0.0040216264,0.22647914,0.048354093,0.42752752,0.025718277,0.9949195,0.0008816246,0.00037278302,0.0071067065,7.80185e-05,9.742075e-05,0.028392008,0.011045434,0.32136658,0.032143876
Brene_Brown__Brene_Brown__0015,Brene_Brown__Brene_Brown__0015_seg0000,Brene_Brown__0015.wav,human_talk_dataset\Brene_Brown\Brene_Brown__0015.wav,1,0,0,0,0,0,0,0,0,0,0.14709648,0.033470802,0.13082443,0.14947051,0.16922514,0.12936887,0.43120292,0.44861746,0.054652836,0.045380283,0.15996861,0.00011142059,0.01516513,0.018210385,0.00019842491,0.19831802,0.67613804,0.10185976,0.10239669,0.015663965,0.22451203,0.0011612782,4.5041073e-05,0.00014230872,0.00023593889,0.25736773,0.038463634,0.007982718,0.07519635,0.00924554
Brene_Brown__Brene_Brown__0015,Brene_Brown__Brene_Brown__0015_seg0001,Brene_Brown__0015.wav,human_talk_dataset\Brene_Brown\Brene_Brown__0015.wav,1,0,0,0,0,0,0,0,0,0,0.08920498,0.0016132755,0.14071003,0.22882083,0.11110699,0.07749451,0.37952587,0.72636664,0.06974351,0.0078435335,0.06233779,2.7855534e-05,0.003471235,0.00076974434,0.0024751425,0.14678618,0.588486,0.023815243,0.15289737,0.010190241,0.023232162,0.00029126424,8.7349516e-05,0.0010636938,8.4100226e-05,0.005436745,0.8984945,0.01849908,0.042775273,0.015415828
Brene_Brown__Brene_Brown__0015,Brene_Brown__Brene_Brown__0015_seg0002,Brene_Brown__0015.wav,human_talk_dataset\Brene_Brown\Brene_Brown__0015.wav,1,0,0,0,0,0,0,0,0,0,0.11485366,0.005492261,0.1176156,0.17585875,0.1412805,0.1308065,0.39355436,0.6319938,0.06895054,0.016627364,0.13806728,3.1999076e-05,0.106089726,0.009626626,0.010933098,0.10037958,0.41889635,0.568434,0.066919215,0.010339086,0.00081831485,0.0001729361,0.016150093,0.0041490505,0.00014615676,0.00040508056,0.3847603,0.31292048,0.15383096,0.004320434
Brene_Brown__Brene_Brown__0015,Brene_Brown__Brene_Brown__0015_seg0003,Brene_Brown__0015.wav,human_talk_dataset\Brene_Brown\Brene_Brown__0015.wav,1,0,0,0,0,0,0,0,0,0,0.16280851,0.035184354,0.117261656,0.13369812,0.15363523,0.17766808,0.47484908,0.43914908,0.041308247,0.03591734,0.5491452,0.00036991638,0.09251561,0.025990322,9.506118e-05,0.17550187,0.5552109,0.15095231,0.20434454,0.013023303,0.8537167,0.038664244,0.0024387876,0.0019071001,8.593758e-06,0.0017516844,0.057311166,0.005615596,0.05225638,0.08685463
Brene_Brown__Brene_Brown__0015,Brene_Brown__Brene_Brown__0015_seg0004,Brene_Brown__0015.wav,human_talk_dataset\Brene_Brown\Brene_Brown__0015.wav,1,0,0,0,0,0,0,0,0,0,0.13246834,0.005554909,0.099026054,0.14632092,0.11960914,0.15408894,0.4490083,0.5331922,0.065657094,0.015519245,0.49487814,0.0002856478,0.0757141,0.01317358,0.0017131142,0.016391974,0.3229626,0.360011,0.09602754,0.007821294,0.92122716,0.00025170704,0.00036675524,0.00016280252,3.50439e-05,7.9625235e-05,0.08552754,0.014824675,0.074403785,0.0065334
Brene_Brown__Brene_Brown__0016,Brene_Brown__Brene_Brown__0016_seg0000,Brene_Brown__0016.wav,human_talk_dataset\Brene_Brown\Brene_Brown__0016.wav,1,0,0,0,0,0,0,0,0,0,0.13132657,0.013738947,0.100303836,0.11044991,0.13169578,0.14464049,0.4162677,0.35624015,0.14136037,0.03963589,0.93639654,0.00011478333,0.012573097,0.0025608074,1.8503053e-05,0.16867198,0.7166173,0.01441956,0.31541976,0.020206194,0.98194236,0.0020441932,0.0006872644,4.8217964e-05,4.6484474e-06,0.73060405,0.008397907,0.0014115941,0.30028817,0.027990423
Brene_Brown__Brene_Brown__0016,Brene_Brown__Brene_Brown__0016_seg0001,Brene_Brown__0016.wav,human_talk_dataset\Brene_Brown\Brene_Brown__0016.wav,1,0,0,0,0,0,0,0,0,0,0.14346614,0.035441477,0.14754559,0.1718502,0.22612627,0.13783477,0.33563337,0.55589134,0.07012097,0.054551087,0.93681806,0.0001240678,0.011545126,0.0017951637,0.00015780072,0.40556926,0.59839237,0.017618092,0.16770338,0.016303472,0.9912055,0.00063353137,6.12565e-05,0.0003497877,9.36987e-06,0.111084364,0.02318744,0.001076912,0.07998165,0.03566036
Brene_Brown__Brene_Brown__0016,Brene_Brown__Brene_Brown__0016_seg0002,Brene_Brown__0016.wav,human_talk_dataset\Brene_Brown\Brene_Brown__0016.wav,1,0,0,0,0,0,0,0,0,0,0.10357017,0.00023015951,0.09519718,0.067375086,0.002371182,0.015960658,0.08258388,0.2893877,0.91932046,0.05004509,0.5859514,0.0039727413,0.057893608,6.245966e-05,3.3761844e-05,0.045613702,0.2811915,0.0028345399,0.7997361,0.07574209,0.91800976,0.0016746799,0.0060207103,0.00340815,0.0008183714,0.0015245142,0.22822483,0.003398766,0.15148196,0.1643374
Brene_Brown__Brene_Brown__0016,Brene_Brown__Brene_Brown__0016_seg0003,Brene_Brown__0016.wav,human_talk_dataset\Brene_Brown\Brene_Brown__0016.wav,1,0,0,0,0,0,0,0,0,0,0.1660244,0.012967353,0.117216654,0.09901948,0.17039719,0.19831395,0.4628216,0.4050481,0.07036398,0.030061457,0.63499916,5.6728622e-06,0.037789226,0.0069497554,0.0014716274,0.07757107,0.71635187,0.06585277,0.13551348,0.005138078,0.9549754,6.325591e-05,9.711764e-06,7.430624e-05,4.5490353e-05,0.0015508956,0.25279257,0.0010115659,0.055509664,0.021165362
Brene_Brown__Brene_Brown__0016,Brene_Brown__Brene_Brown__0016_seg0004,Brene_Brown__0016.wav,human_talk_dataset\Brene_Brown\Brene_Brown__0016.wav,1,0,0,0,0,0,0,0,0,0,0.122290745,0.03532745,0.06137893,0.08374304,0.05349441,0.0600153,0.28587866,0.22319058,0.20604132,0.03813343,0.16037074,8.388445e-05,0.07251211,0.0244602,0.0034726667,0.049870037,0.39209518,0.25081706,0.14268248,0.0077031376,0.9214244,0.0014963555,0.012776329,0.00012227273,1.3525705e-05,0.0013412341,0.2189833,0.013625371,0.07165983,0.013384094
Brene_Brown__Brene_Brown__0017,Brene_Brown__Brene_Brown__0017_seg0000,Brene_Brown__0017.wav,human_talk_dataset\Brene_Brown\Brene_Brown__0017.wav,1,0,0,0,0,0,0,0,0,0,0.08018448,0.053940848,0.049549397,0.11187293,0.15052001,0.08565201,0.35286093,0.29733172,0.10962151,0.039433427,0.6400209,0.000987194,0.026314437,0.0016311947,0.007948098,0.20984472,0.4368372,0.07021142,0.05288366,0.01871647,0.9481642,0.0007205224,0.023045214,6.953902e-06,9.0523745e-06,0.00082138507,0.058281045,0.054866146,0.005801121,0.009973362
Brene_Brown__Brene_Brown__0017,Brene_Brown__Brene_Brown__0017_seg0001,Brene_Brown__0017.wav,human_talk_dataset\Brene_Brown\Brene_Brown__0017.wav,1,0,0,0,0,0,0,0,0,0,0.12032706,0.0058351927,0.163674,0.16495426,0.1716054,0.14820671,0.4455391,0.584645,0.061322298,0.025258346,0.65743977,0.00012879386,0.027117297,0.015461361,0.00021645715,0.45031285,0.5697957,0.12977016,0.0852287,0.009810026,0.99623483,0.008761177,2.0428533e-06,0.00024001436,2.8398232e-05,0.1342574,0.07854136,0.00081276696,0.03112751,0.030406678
Brene_Brown__Brene_Brown__0017,Brene_Brown__Brene_Brown__0017_seg0002,Brene_Brown__0017.wav,human_talk_dataset\Brene_Brown\Brene_Brown__0017.wav,1,0,0,0,0,0,0,0,0,0,0.088466436,0.010281311,0.10305142,0.16089049,0.20215617,0.11938069,0.42125252,0.5323064,0.10234935,0.020859791,0.76845324,8.148233e-05,0.014813851,0.0071066422,0.0011789466,0.16419962,0.76932883,0.04301222,0.11263965,0.009538276,0.98666996,3.7411366e-05,4.683302e-06,3.4364177e-06,5.1608735e-05,0.0011638524,0.20841129,0.0011228631,0.009257555,0.021819502
Brene_Brown__Brene_Brown__0017,Brene_Brown__Brene_Brown__0017_seg0003,Brene_Brown__0017.wav,human_talk_dataset\Brene_Brown\Brene_Brown__0017.wav,1,0,0,0,0,0,0,0,0,0,0.10614294,0.03835205,0.05226318,0.12602524,0.09751612,0.07769827,0.3371925,0.3555951,0.07878487,0.027343312,0.13969697,0.003350987,0.12334157,0.000759431,0.11312908,0.2853229,0.30614358,0.17810163,0.023105614,0.017554453,0.8911867,0.0005369354,0.0024884453,1.8391641e-07,0.0005365898,0.06846242,0.10208036,0.005401167,0.094069876,0.009669627
