seed,label,aggregation,threshold,cal_precision,cal_recall,cal_f1,cal_tp,cal_fp,cal_fn,cal_tn,cal_support,cal_predicted_positive,cal_hamming_errors
0,Brene_Brown,top3mean,0.5,1.0,1.0,1.0,35,0,0,399,35,35,0
0,Eckhart_Tolle,mean,0.5,1.0,1.0,1.0,52,0,0,382,52,52,0
0,Eric_Thomas,mean,0.47,1.0,0.9428571428571428,0.9705882352941176,33,0,2,399,35,33,2
0,Gary_Vee,top3mean,0.54,1.0,1.0,1.0,27,0,0,407,27,27,0
0,Jay_Shetty,top3mean,0.55,0.9591836734693877,1.0,0.9791666666666666,47,2,0,385,47,49,2
0,Nick_Vujicic,p75,0.39,1.0,1.0,1.0,16,0,0,418,16,16,0
0,other_speaker_present,top3mean,0.54,0.9704641350210971,0.9704641350210971,0.9704641350210971,230,7,7,190,237,237,14
0,music_present,p75,0.57,0.9743589743589743,0.9620253164556962,0.9681528662420382,152,4,6,272,158,156,10
0,audience_reaction_present,max,0.65,0.5,0.46153846153846156,0.48000000000000004,6,6,7,415,13,12,13
0,silence_present,p75,0.39,0.5714285714285714,0.6666666666666666,0.6153846153846153,4,3,2,425,6,7,5
1,Brene_Brown,p75,0.5,0.9736842105263158,1.0,0.9866666666666666,37,1,0,396,37,38,1
1,Eckhart_Tolle,mean,0.5,1.0,1.0,1.0,46,0,0,388,46,46,0
1,Eric_Thomas,mean,0.5,0.9393939393939394,0.9117647058823529,0.9253731343283583,31,2,3,398,34,33,5
1,Gary_Vee,top3mean,0.5,1.0,1.0,1.0,32,0,0,402,32,32,0
1,Jay_Shetty,p75,0.95,1.0,0.9487179487179487,0.9736842105263158,37,0,2,395,39,37,2
1,Nick_Vujicic,p75,0.39,1.0,1.0,1.0,26,0,0,408,26,26,0
1,other_speaker_present,top3mean,0.51,0.9581589958158996,0.9744680851063829,0.9662447257383966,229,10,6,189,235,239,16
1,music_present,top3mean,0.47,0.9878787878787879,0.9702380952380952,0.978978978978979,163,2,5,264,168,165,7
1,audience_reaction_present,mean,0.47,1.0,0.3,0.4615384615384615,3,0,7,424,10,3,7
1,silence_present,p75,0.39,0.6666666666666666,0.2857142857142857,0.4,2,1,5,426,7,3,6
2,Brene_Brown,mean,0.5,1.0,1.0,1.0,37,0,0,397,37,37,0
2,Eckhart_Tolle,mean,0.5,1.0,1.0,1.0,40,0,0,394,40,40,0
2,Eric_Thomas,top3mean,0.59,0.9375,0.9090909090909091,0.923076923076923,30,2,3,399,33,32,5
2,Gary_Vee,top3mean,0.54,1.0,1.0,1.0,36,0,0,398,36,36,0
2,Jay_Shetty,p75,0.95,1.0,1.0,1.0,47,0,0,387,47,47,0
2,Nick_Vujicic,p75,0.39,0.9130434782608695,1.0,0.9545454545454545,21,2,0,411,21,23,2
2,other_speaker_present,mean,0.38,0.9699570815450643,0.9658119658119658,0.9678800856531049,226,7,8,193,234,233,15
2,music_present,mean,0.29,0.9883720930232558,0.96045197740113,0.9742120343839542,170,2,7,255,177,172,9
2,audience_reaction_present,top3mean,0.4,0.5454545454545454,0.46153846153846156,0.4999999999999999,6,5,7,416,13,11,12
2,silence_present,p75,0.45,0.6666666666666666,0.4,0.5,2,1,3,428,5,3,4
3,Brene_Brown,p75,0.5,0.9736842105263158,1.0,0.9866666666666666,37,1,0,396,37,38,1
3,Eckhart_Tolle,mean,0.5,1.0,1.0,1.0,39,0,0,395,39,39,0
3,Eric_Thomas,top3mean,0.63,0.9714285714285714,0.8947368421052632,0.9315068493150684,34,1,4,395,38,35,5
3,Gary_Vee,mean,0.5,1.0,1.0,1.0,32,0,0,402,32,32,0
3,Jay_Shetty,mean,0.5,0.9607843137254902,1.0,0.98,49,2,0,383,49,51,2
3,Nick_Vujicic,p75,0.39,0.9230769230769231,1.0,0.9600000000000001,24,2,0,408,24,26,2
3,other_speaker_present,mean,0.39,0.9653679653679653,0.9653679653679653,0.9653679653679653,223,8,8,195,231,231,16
3,music_present,p75,0.57,0.9941176470588236,0.9602272727272727,0.976878612716763,169,1,7,257,176,170,8
3,audience_reaction_present,max,0.65,0.5,0.4375,0.4666666666666667,7,7,9,411,16,14,16
3,silence_present,top3mean,0.5,1.0,0.25,0.4,1,0,3,430,4,1,3
4,Brene_Brown,mean,0.5,1.0,1.0,1.0,33,0,0,401,33,33,0
4,Eckhart_Tolle,mean,0.5,1.0,1.0,1.0,48,0,0,386,48,48,0
4,Eric_Thomas,mean,0.47,0.9655172413793104,0.8484848484848485,0.9032258064516129,28,1,5,400,33,29,6
4,Gary_Vee,top3mean,0.54,1.0,1.0,1.0,34,0,0,400,34,34,0
4,Jay_Shetty,top2mean,0.95,0.9807692307692307,1.0,0.9902912621359222,51,1,0,382,51,52,1
4,Nick_Vujicic,p75,0.39,0.9565217391304348,1.0,0.9777777777777777,22,1,0,411,22,23,1
4,other_speaker_present,mean,0.37,0.9644444444444444,0.9601769911504425,0.9623059866962307,217,8,9,200,226,225,17
4,music_present,p75,0.49,0.9766081871345029,0.9542857142857143,0.9653179190751444,167,4,8,255,175,171,12
4,audience_reaction_present,top3mean,0.4,0.4666666666666667,0.4666666666666667,0.4666666666666667,7,8,8,411,15,15,16
4,silence_present,p75,0.35,0.625,0.5,0.5555555555555556,5,3,5,421,10,8,8
5,Brene_Brown,p75,0.5,0.975609756097561,1.0,0.9876543209876543,40,1,0,393,40,41,1
5,Eckhart_Tolle,mean,0.5,1.0,1.0,1.0,45,0,0,389,45,45,0
5,Eric_Thomas,top3mean,0.63,0.9459459459459459,0.9210526315789473,0.9333333333333332,35,2,3,394,38,37,5
5,Gary_Vee,mean,0.5,1.0,1.0,1.0,34,0,0,400,34,34,0
5,Jay_Shetty,p75,0.95,1.0,0.972972972972973,0.9863013698630138,36,0,1,397,37,36,1
5,Nick_Vujicic,p75,0.39,0.9642857142857143,1.0,0.9818181818181818,27,1,0,406,27,28,1
5,other_speaker_present,mean,0.37,0.9482758620689655,0.9734513274336283,0.9606986899563318,220,12,6,196,226,232,18
5,music_present,p75,0.48,0.9811320754716981,0.9397590361445783,0.9600000000000001,156,3,10,265,166,159,13
5,audience_reaction_present,max,0.8,0.7142857142857143,0.35714285714285715,0.4761904761904762,5,2,9,418,14,7,11
5,silence_present,p75,0.35,0.5,0.5555555555555556,0.5263157894736842,5,5,4,420,9,10,9
6,Brene_Brown,p75,0.5,1.0,1.0,1.0,31,0,0,403,31,31,0
6,Eckhart_Tolle,mean,0.5,1.0,1.0,1.0,42,0,0,392,42,42,0
6,Eric_Thomas,mean,0.47,0.9642857142857143,0.9,0.9310344827586207,27,1,3,403,30,28,4
6,Gary_Vee,mean,0.5,1.0,1.0,1.0,26,0,0,408,26,26,0
6,Jay_Shetty,max,0.94,0.9318181818181818,1.0,0.9647058823529412,41,3,0,390,41,44,3
6,Nick_Vujicic,p75,0.62,1.0,1.0,1.0,18,0,0,416,18,18,0
6,other_speaker_present,top3mean,0.52,0.9576923076923077,0.9841897233201581,0.9707602339181287,249,11,4,170,253,260,15
6,music_present,top2mean,0.61,0.9743589743589743,0.9681528662420382,0.9712460063897764,152,4,5,273,157,156,9
6,audience_reaction_present,max,0.65,0.2727272727272727,0.3333333333333333,0.3,3,8,6,417,9,11,14
6,silence_present,p75,0.39,0.6666666666666666,0.5714285714285714,0.6153846153846153,4,2,3,425,7,6,5
7,Brene_Brown,top3mean,0.5,1.0,1.0,1.0,43,0,0,391,43,43,0
7,Eckhart_Tolle,mean,0.5,1.0,1.0,1.0,36,0,0,398,36,36,0
7,Eric_Thomas,mean,0.5,0.9117647058823529,0.8611111111111112,0.8857142857142858,31,3,5,395,36,34,8
7,Gary_Vee,mean,0.5,1.0,1.0,1.0,34,0,0,400,34,34,0
7,Jay_Shetty,mean,0.5,0.9285714285714286,1.0,0.962962962962963,39,3,0,392,39,42,3
7,Nick_Vujicic,mean,0.43,1.0,1.0,1.0,24,0,0,410,24,24,0
7,other_speaker_present,mean,0.4,0.9523809523809523,0.9734513274336283,0.962800875273523,220,11,6,197,226,231,17
7,music_present,mean,0.29,0.9710982658959537,0.9545454545454546,0.9627507163323782,168,5,8,253,176,173,13
7,audience_reaction_present,mean,0.45,0.6666666666666666,0.4444444444444444,0.5333333333333333,4,2,5,423,9,6,7
7,silence_present,mean,0.23,0.5,0.5714285714285714,0.5333333333333333,4,4,3,423,7,8,7
8,Brene_Brown,p75,0.5,0.975,1.0,0.9873417721518987,39,1,0,394,39,40,1
8,Eckhart_Tolle,mean,0.5,1.0,1.0,1.0,40,0,0,394,40,40,0
8,Eric_Thomas,mean,0.54,0.9655172413793104,0.875,0.9180327868852458,28,1,4,401,32,29,5
8,Gary_Vee,top3mean,0.51,1.0,1.0,1.0,28,0,0,406,28,28,0
8,Jay_Shetty,mean,0.5,0.9411764705882353,1.0,0.9696969696969697,48,3,0,383,48,51,3
8,Nick_Vujicic,p75,0.43,1.0,1.0,1.0,27,0,0,407,27,27,0
8,other_speaker_present,top2mean,0.62,0.9702127659574468,0.9785407725321889,0.9743589743589745,228,7,5,194,233,235,12
8,music_present,mean,0.29,0.9767441860465116,0.9767441860465116,0.9767441860465116,168,4,4,258,172,172,8
8,audience_reaction_present,p90,0.58,0.6666666666666666,0.46153846153846156,0.5454545454545455,6,3,7,418,13,9,10
8,silence_present,p75,0.35,0.5,0.3333333333333333,0.4,1,1,2,430,3,2,3
9,Brene_Brown,top3mean,0.52,1.0,1.0,1.0,35,0,0,399,35,35,0
9,Eckhart_Tolle,mean,0.5,1.0,1.0,1.0,42,0,0,392,42,42,0
9,Eric_Thomas,mean,0.5,0.9354838709677419,0.90625,0.9206349206349206,29,2,3,400,32,31,5
9,Gary_Vee,top3mean,0.51,1.0,1.0,1.0,38,0,0,396,38,38,0
9,Jay_Shetty,p75,0.95,0.975,0.975,0.975,39,1,1,393,40,40,2
9,Nick_Vujicic,p75,0.62,1.0,1.0,1.0,25,0,0,409,25,25,0
9,other_speaker_present,mean,0.36,0.9623430962343096,0.9704641350210971,0.9663865546218486,230,9,7,188,237,239,16
9,music_present,top3mean,0.43,0.9877300613496932,0.9415204678362573,0.9640718562874252,161,2,10,261,171,163,12
9,audience_reaction_present,max,0.8,0.7272727272727273,0.47058823529411764,0.5714285714285714,8,3,9,414,17,11,12
9,silence_present,p75,0.39,0.6,0.42857142857142855,0.5,3,2,4,425,7,5,6
10,Brene_Brown,p75,0.5,0.9696969696969697,1.0,0.9846153846153847,32,1,0,401,32,33,1
10,Eckhart_Tolle,mean,0.5,1.0,1.0,1.0,46,0,0,388,46,46,0
